Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
P42	Neg5	Neg	5	8	6	8	7	978.932	233.668	7
P42	Neu1	Neu	1	13	4	8	6	1129.069	150.1365	2
P42	Neg1	Neg	1	10	1	13	4	1390.853	261.784	7
P42	Pos3	Pos	3	14	7	10	1	1724.873	334.02	5
P43	Neg1	Neg	1	2	7	4	4	146.336	146.336	4
P43	Pos2	Pos	2	14	7	2	7	316.188	169.852	3
P43	Neg4	Neg	4	8	4	14	7	465.836	149.648	1
P43	Neu1	Neu	1	11	3	8	4	631.94	166.104	2
P43	Pos3	Pos	3	8	5	11	3	857.484	225.544	1
P43	Pos4	Pos	4	12	6	8	5	989.188	131.704	1
P43	Neg5	Neg	5	3	7	12	6	1161.216	172.028	7
P45	Pos2	Pos	2	10	4	8	4	184.708	184.708	3
P45	Neu1	Neu	1	8	4	10	4	369.528	184.82	3
P45	Neg1	Neg	1	4	5	8	4	564.792	195.264	6
P45	Pos3	Pos	3	10	4	4	5	808.952	244.16	3
P45	Neg4	Neg	4	6	5	10	4	1043.852	234.9	5
P45	Pos4	Pos	4	10	5	6	5	1244.936	201.084	2
P45	Neg5	Neg	5	6	4	10	5	1493.672	248.736	2
P46	Neg4	Neg	4	7	5	9	5	243.92	243.92	5
P46	Neu1	Neu	1	7	3	7	5	497.996	254.076	3
P46	Pos2	Pos	2	14	6	7	3	724.372	226.376	5
P46	Pos4	Pos	4	14	7	14	6	920.868	196.496	6
P46	Neg5	Neg	5	5	5	14	7	1128.052	207.184	7
P46	Neg1	Neg	1	10	5	5	5	1329.012	200.96	5
P46	Pos3	Pos	3	12	6	10	5	1646.844	317.832	6
P47	Neu1	Neu	1	9	5	11	6	187.584	187.584	3
P47	Pos2	Pos	2	14	6	9	5	347.468	159.884	5
P47	Neg5	Neg	5	2	7	14	6	528.416	180.948	1
P47	Pos4	Pos	4	13	4	2	7	643.052	114.636	1
P47	Neg4	Neg	4	3	6	13	4	794.204	151.152	4
P47	Pos3	Pos	3	13	4	3	6	1004.52	210.316	1
P47	Neg1	Neg	1	4	3	13	4	1142.828	138.308	4
P48	Neu1	Neu	1	5	4	12	7	150.928	150.928	1
P48	Neg4	Neg	4	4	7	5	4	331.94	181.012	7
P48	Pos4	Pos	4	14	7	4	7	484.976	153.036	7
P48	Pos2	Pos	2	14	7	14	7	665.512	180.536	6
P48	Neg1	Neg	1	10	6	14	7	802.856	137.344	5
P48	Neg5	Neg	5	6	4	10	6	990.412	187.556	6
P48	Pos3	Pos	3	14	7	6	4	1270.58	280.168	7
P49	Neu1	Neu	1	13	7	8	4	168.968	168.968	1
