Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
23	Po1	1	4	7	7	5	7
23	Po2	3	4	1	1	5	5
23	Po3	0	4	2	5	5	5
23	Po9	3	5	5	5	5	4
23	Ne4	-6	7	1	1	3	2
23	Ne6	-3	4	5	5	5	4
23	Ne7	-5	5	3	1	5	1
23	Ne8	-3	5	5	5	6	5
23	Ne9	-3	5	2	5	6	2
24	Nt1	3	3	2	4	6	6
24	Po1	2	5	1	4	5	5
24	Po2	3	4	1	2	4	5
24	Po3	-3	5	2	2	3	5
24	Po9	1	4	1	1	1	2
24	Ne4	-3	6	1	1	6	1
24	Ne6	-2	4	1	1	2	1
24	Ne7	-4	5	1	2	3	2
24	Ne8	-3	5	1	1	1	1
24	Ne9	-5	6	2	1	1	2
25	Nt1	0	1	1	1	1	2
25	Po1	6	7	1	5	7	5
25	Po2	4	1	1	1	4	4
25	Po3	6	2	5	7	7	7
25	Po9	6	5	5	3	7	7
25	Ne4	-4	5	5	2	5	5
25	Ne6	-6	1	1	1	1	1
25	Ne7	-6	7	1	7	7	5
25	Ne8	4	5	1	1	5	5
25	Ne9	3	7	4	7	6	6
26	Nt1	-2	2	1	2	1	2
26	Po1	0	4	5	5	2	5
26	Po2	2	5	5	5	5	5
26	Po3	0	3	5	5	5	5
26	Po9	4	5	3	4	5	6
26	Ne4	-6	5	4	5	5	2
26	Ne6	-2	5	5	5	5	5
26	Ne7	-5	3	6	6	6	6
26	Ne8	2	5	5	5	5	5
26	Ne9	-3	5	5	5	5	5
27	Nt1	-4	1	1	1	1	1
27	Po1	4	5	4	4	5	4
27	Po2	6	3	4	6	6	5
27	Po3	6	6	5	6	6	6
27	Po9	4	2	2	2	5	4
27	Ne4	-6	5	3	3	5	5
27	Ne6	0	4	1	1	1	1
27	Ne7	-4	4	2	2	4	2
27	Ne8	0	4	2	2	3	3
27	Ne9	-4	4	2	2	2	2
28	Nt1	3	1	1	3	4	5
28	Po1	0	2	3	6	6	6
28	Po2	6	6	5	7	7	7
28	Po3	6	6	4	6	7	6
28	Po9	5	6	5	6	6	7
28	Ne4	-6	4	1	7	7	2
28	Ne6	-1	2	2	2	5	3
28	Ne7	-4	3	2	4	5	2
28	Ne8	1	3	4	5	6	5
28	Ne9	-2	5	1	4	5	1
29	Nt1	0	2	2	2	3	3
29	Po1	3	2	3	3	4	4
29	Po2	0	3	3	3	3	3
29	Po3	0	3	3	3	3	3
29	Po9	0	4	5	5	3	4
29	Ne4	0	3	3	3	2	4
29	Ne6	-1	4	2	2	2	2
29	Ne7	-1	2	1	1	1	1
29	Ne8	0	3	1	1	1	1
29	Ne9	0	3	3	3	3	3
30	Nt1	0	1	1	1	2	2
30	Po1	-5	1	1	1	1	1
30	Po2	6	5	1	6	6	5
30	Po3	6	6	1	6	7	6
30	Po9	0	1	1	1	2	1
30	Ne4	-6	5	1	1	2	1
30	Ne6	4	5	1	6	5	6
30	Ne7	-3	3	1	2	3	1
30	Ne8	-2	4	1	3	4	2
30	Ne9	-2	3	1	5	3	5
31	Nt1	0	4	1	2	1	1
31	Po1	-2	4	1	3	5	4
31	Po2	5	6	1	5	5	5
31	Po3	6	6	1	5	5	6
31	Po9	6	6	1	5	5	7
31	Ne4	-6	6	1	5	6	2
31	Ne6	-4	4	1	3	5	4
31	Ne7	-6	5	1	5	5	4
31	Ne8	-3	4	1	2	2	3
31	Ne9	-5	5	1	2	3	2
32	Nt1	5	1	2	5	6	6
32	Po1	5	5	7	7	7	5
32	Po2	6	2	6	7	7	7
32	Po3	6	2	1	1	2	2
32	Po9	6	1	1	1	2	2
32	Ne4	-5	5	5	4	5	5
32	Ne6	-3	6	7	6	6	7
32	Ne7	-5	6	1	1	6	2
32	Ne8	-3	3	2	4	5	4
32	Ne9	5	1	1	1	2	1
33	Nt1	0	4	1	1	1	1
33	Po1	0	4	3	3	4	4
33	Po2	3	4	1	4	4	1
33	Po3	0	4	2	4	3	1
33	Po9	4	5	4	4	4	5
33	Ne4	-2	4	2	3	4	4
33	Ne6	-2	4	1	1	3	1
33	Ne7	-2	4	3	4	4	3
33	Ne8	0	4	3	3	4	1
33	Ne9	0	4	2	2	3	2
34	Nt1	-4	1	1	1	1	1
34	Po1	2	3	1	5	5	4
34	Po2	2	2	1	2	2	1
34	Po3	2	2	1	1	1	1
34	Po9	0	2	1	1	2	2
34	Ne4	-4	4	1	1	2	1
34	Ne6	2	2	1	2	3	1
34	Ne7	-2	2	1	2	3	1
34	Ne8	-2	1	1	1	1	1
34	Ne9	0	1	1	1	2	1
35	Nt1	-3	5	1	1	1	1
35	Po1	4	5	6	5	5	5
35	Po2	4	4	2	2	5	5
35	Po3	2	4	4	5	4	5
35	Po9	2	4	1	1	2	3
35	Ne4	-3	4	1	1	5	1
35	Ne6	-2	4	1	1	1	1
35	Ne7	-3	3	5	2	5	2
35	Ne8	-2	5	6	5	3	5
35	Ne9	-2	3	1	2	5	1
36	Nt1	0	4	1	1	1	1
36	Po1	0	1	7	7	5	5
36	Po2	6	3	6	6	7	5
36	Po3	6	1	4	5	6	6
36	Po9	6	2	6	6	7	7
36	Ne4	-6	5	1	4	5	1
36	Ne6	0	2	1	4	4	4
36	Ne7	-4	4	1	1	1	1
36	Ne8	-2	5	1	6	6	6
36	Ne9	0	4	1	5	5	1
37	Nt1	-6	1	1	1	1	1
37	Po1	6	5	6	6	7	6
37	Po2	5	6	6	4	5	5
37	Po3	1	4	4	4	3	4
37	Po9	6	6	6	6	7	7
37	Ne4	-6	7	7	4	5	2
37	Ne6	-5	5	1	1	2	1
37	Ne7	-6	5	2	2	4	2
37	Ne8	0	2	5	1	1	5
37	Ne9	-5	1	1	1	3	1
38	Nt1	0	1	1	1	1	1
38	Po1	0	1	1	1	2	1
38	Po2	3	2	1	2	4	3
38	Po3	-3	2	1	1	3	2
38	Po9	5	2	1	2	5	5
38	Ne4	0	2	1	2	5	3
38	Ne6	1	4	1	2	3	5
38	Ne7	-1	2	1	1	4	4
38	Ne8	0	1	1	1	1	1
38	Ne9	0	3	1	5	5	2
39	Nt1	0	4	1	1	1	1
39	Po1	2	2	2	2	2	2
39	Po2	1	6	4	6	6	5
39	Po3	-2	5	1	3	5	4
39	Po9	3	3	1	2	3	2
39	Ne4	-4	5	7	7	5	5
39	Ne6	-2	3	1	3	2	2
39	Ne7	-2	2	1	1	2	1
39	Ne8	0	4	1	3	3	2
39	Ne9	-3	3	1	1	3	1
40	Nt1	4	5	5	3	5	3
40	Po1	0	2	1	1	1	1
40	Po2	0	4	4	5	5	5
40	Po3	0	4	1	2	4	3
40	Po9	5	5	7	6	7	5
40	Ne4	-3	3	1	1	3	1
40	Ne6	-4	4	3	3	1	1
40	Ne7	-2	3	6	2	4	2
40	Ne8	0	2	5	5	5	3
40	Ne9	-1	4	1	1	3	2
41	Nt1	0	4	1	1	1	1
41	Po1	-2	4	1	2	2	1
41	Po2	3	2	1	2	3	2
41	Po3	4	2	1	2	2	1
41	Po9	0	4	1	1	2	2
41	Ne4	-4	4	2	4	5	2
41	Ne6	-4	4	1	3	3	2
41	Ne7	-4	4	3	3	3	1
